SPACECRAFT_CLOCK_START_COUNT,MISSION_NAME,INSTRUMENT_ID,DATA_SET_ID,IMAGE_ID,OBSERVATION_ID,PRODUCT_TYPE,TARGET_NAME,IMAGE_TIME,FILTER_NAME,FILTER_NUMBER,EXPOSURE_DURATION,GAIN_MODE_ID,FRAME_DURATION,OBSTRUCTION_ID,ORBIT_NUMBER,NTV_TIME_FROM_CLOSEST_APPROACH,NTV_SAT_TIME_FROM_CLOSEST_APR,PHASE_ANGLE,EMISSION_ANGLE,INCIDENCE_ANGLE,LOCAL_HOUR_ANGLE,TWIST_ANGLE,CONE_ANGLE,RIGHT_ASCENSION,DECLINATION,NORTH_AZIMUTH,SMEAR_AZIMUTH,SMEAR_MAGNITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE,SLANT_DISTANCE,LIGHT_SOURCE_LATITUDE,LIGHT_SOURCE_LONGITUDE,TARGET_CENTER_DISTANCE,CENTRAL_BODY_DISTANCE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SOLAR_DISTANCE,SUB_SPACECRAFT_LINE,SUB_SPACECRAFT_LINE_SAMPLE,CENTER_RING_RADIUS,VOLUME_ID,FILE_SPECIFICATION_NAME,COMPRESSION_TYPE,ENCODING_MIN_COMPRESSION_RATIO,ENCODING_MAX_COMPRESSION_RATIO,ENCODING_COMPRESSION_RATIO,PROCESSING_HISTORY_TEXT
5524436.39,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0008,28GSBRTDRK01,REDR,GANYMEDE,2000-05-20 10:14:53.381000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:37:10Z,000T00:04:51Z,72.228,16.229,56.786,234.724,260.332,105.567,126.109,33.325,264.041,-999,0.1,22.0177,21.3367,2091.17,-14.316,319.708,4676.895,1068856.0,-13.476,312.364,184.422,3.041,14.28,747368000,-3816.03,15511.42,-999,GO_0023,G28/GANYMEDE/C0552443639R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3899238.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G7G0050,G7GSKITTU_01,REDR,GANYMEDE,1997-04-05 06:39:46.254000+00:00,GREEN,1,62.5,100K,60.667,NOT POSSIBLE,7,000T19:35:42Z,-000T00:31:13Z,79.535,44.296,37.466,142.526,71.554,90.823,217.335,-36.554,87.664,-999,0.1,198.308,150.393,14252.4,0.623,334.784,16242.23,1054267.0,16.436,9.624,164.425,-0.762,297.342,764041000,3672.775,11139.27,-999,GO_0018,G7/GANYMEDE/C0389923800R.IMG,INTEGER COSINE TRANSFORM,5.921,5.112,6.624,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524438.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0014,28GSARBELA01,REDR,GANYMEDE,2000-05-20 10:16:28.714000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:35:35Z,000T00:06:26Z,73.901,45.398,33.278,207.999,258.233,103.674,126.923,27.388,266.104,-999,0.1,46.3508,35.0398,3272.05,-15.475,346.391,5452.696,1067787.0,-11.401,320.707,208.428,3.041,14.335,747368000,-11433.9,34454.71,-999,GO_0023,G28/GANYMEDE/C0552443800R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524440.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0018,28GSCALDRA01,REDR,GANYMEDE,2000-05-20 10:18:30.047000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:33:33Z,000T00:08:28Z,39.754,30.34,62.256,237.339,273.367,137.634,88.536,25.148,266.617,-999,0.1,43.4763,46.427,4147.52,-24.498,316.852,6555.665,1066431.0,-9.316,328.194,194.209,3.041,14.406,747368000,-15907.2,-11857.7,-999,GO_0023,G28/GANYMEDE/C0552444000R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524440.13,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0019,28GSCALDRA01,REDR,GANYMEDE,2000-05-20 10:18:38.714000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:33:25Z,000T00:08:36Z,39.82,29.544,61.248,236.472,273.349,137.705,88.604,25.212,266.606,-999,0.1,44.7891,47.1271,4219.67,-24.369,317.976,6637.934,1066334.0,-9.189,328.63,194.675,3.041,14.411,747368000,-15602.6,-10983.0,-999,GO_0023,G28/GANYMEDE/C0552444013R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524440.26,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0020,28GSCALDRA01,REDR,GANYMEDE,2000-05-20 10:18:47.381000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:33:16Z,000T00:08:45Z,39.545,29.434,60.836,235.94,273.543,137.948,88.3,25.208,266.543,-999,0.1,46.0784,48.1744,4302.3,-24.36,318.454,6720.574,1066237.0,-9.065,329.055,194.861,3.041,14.416,747368000,-15387.3,-10735.2,-999,GO_0023,G28/GANYMEDE/C0552444026R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5524440.39,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,28G0021,28GSCALDRA01,REDR,GANYMEDE,2000-05-20 10:18:56.047000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,28,-000T18:33:07Z,000T00:08:54Z,39.513,28.935,60.035,234.978,273.546,137.957,88.262,25.221,266.557,-999,0.1,47.374,49.0481,4379.5,-24.319,319.373,6803.562,1066141.0,-8.943,329.469,195.294,3.041,14.421,747368000,-15180.1,-10064.7,-999,GO_0023,G28/GANYMEDE/C0552444039R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3599441.45,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G2G0006,G2GSCRATER01,REDR,GANYMEDE,1996-09-06 18:32:17.306000+00:00,GREEN,1,62.5,400K,15.166,NOT POSSIBLE,2,-000T19:05:47Z,-000T00:27:45Z,38.682,48.192,10.631,190.293,95.019,151.056,247.293,-31.722,75.904,-999,0.1,331.283,225.361,10965.4,1.129,152.728,12871.87,1085040.0,6.726,191.858,317.268,-1.618,162.998,773833000,-956.624,7712.026,-999,GO_0017,G2/GANYMEDE/C0359944145R.IMG,INTEGER COSINE TRANSFORM,7.094,6.192,7.806,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3599444.26,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G2G0010,G2GSNIPPUR01,REDR,GANYMEDE,1996-09-06 18:35:06.610000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,2,-000T19:02:58Z,-000T00:24:56Z,26.364,49.223,59.615,139.428,82.295,163.262,261.064,-23.903,94.48,-999,0.1,100.13,150.269,9727.6,46.176,203.615,11620.32,1083781.0,8.194,191.69,220.074,-1.618,163.097,773832000,-16575.4,-2116.71,-999,GO_0017,G2/GANYMEDE/C0359944426R.IMG,INTEGER COSINE TRANSFORM,11.874,6.66,17.184,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
3599444.39,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G2G0011,G2GSNIPPUR01,REDR,GANYMEDE,1996-09-06 18:35:15.276000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,2,-000T19:02:49Z,-000T00:24:47Z,26.419,51.907,61.289,139.261,81.078,163.197,261.025,-23.508,95.679,-999,0.1,99.8626,159.626,9744.06,48.581,203.771,11556.44,1083717.0,8.278,191.68,220.917,-1.618,163.102,773832000,-17452.1,-1556.28,-999,GO_0017,G2/GANYMEDE/C0359944439R.IMG,INTEGER COSINE TRANSFORM,9.353,6.15,10.705,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
